BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/Kepler-36-experiment.nlogo3d,,,,,,,,,,,,,
BIG,,,,,,,,,,,,,
09/03/2013 11:26:05:497 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
[run number],the-kepler-36-c-mean-anomaly,the-kepler-36-b-mass,the-kepler-36-c-semi-major-axis,the-kepler-36-b-semi-major-axis,the-kepler-36-b-mean-anomaly,the-kepler-36-c-logitude,the-kepler-36-b-logitude,the-kepler-36-c-mass,[step],[my-orbits-length] of the-kepler-36-c,[my-orbits-length] of the-kepler-36-b,orbits-ok,years-ok
98,300,2.49E+25,18890000,17270000,300,8,150,4.84E+25,121507,[1417500 1417260 1417380 1417560 1417560 203160],[1228200 1228200 1228020 1227720 1228980 95700],"""orbits-ok""","""years-ok"""
97,300,2.49E+25,18890000,17270000,300,8,150,4.52E+25,121506,[1417440 1417320 1417320 1417560 1417560 203160],[1228440 1228440 1228200 1228020 1229100 95700],"""orbits-ok""","""years-ok"""
100,300,2.49E+25,18890000,17270000,300,145,240,4.52E+25,126894,[1370400 1369800 1377960 1382280 1382100 731100],[1248660 1249680 1236120 1230660 1230720 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
99,300,2.49E+25,18890000,17270000,300,8,150,5.16E+25,121508,[1417500 1417260 1417380 1417620 1417560 203160],[1227960 1228020 1227780 1227480 1228800 95700],"""orbits-ok""","""years-ok"""
101,300,2.49E+25,18890000,17270000,300,145,240,4.84E+25,126893,[1370400 1369800 1377900 1382280 1382100 731100],[1249920 1251060 1236480 1230660 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
102,300,2.49E+25,18890000,17270000,300,145,240,5.16E+25,126892,[1370400 1369740 1377900 1382280 1382100 731100],[1251180 1252440 1236840 1230600 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
103,300,2.49E+25,18890000,17270000,300,145,244,4.52E+25,126894,[1370400 1369800 1377960 1382280 1382100 731100],[1248660 1249680 1236120 1230660 1230720 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
104,300,2.49E+25,18890000,17270000,300,145,244,4.84E+25,126893,[1370400 1369800 1377900 1382280 1382100 731100],[1249920 1251060 1236480 1230660 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
105,300,2.49E+25,18890000,17270000,300,145,244,5.16E+25,126892,[1370400 1369740 1377900 1382280 1382100 731100],[1251180 1252440 1236840 1230600 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
106,300,2.49E+25,18890000,17270000,300,145,150,4.52E+25,126894,[1370400 1369800 1377960 1382280 1382100 731100],[1248660 1249680 1236120 1230660 1230720 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
107,300,2.49E+25,18890000,17270000,300,145,150,4.84E+25,126893,[1370400 1369800 1377900 1382280 1382100 731100],[1249920 1251060 1236480 1230660 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
108,300,2.49E+25,18890000,17270000,300,145,150,5.16E+25,126892,[1370400 1369740 1377900 1382280 1382100 731100],[1251180 1252440 1236840 1230600 1230660 1230960 95760],"""orbits-ok""","""Kepler-36 b"""
113,300,2.49E+25,18890000,17270000,150,5,244,4.84E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135920 1135680 1136220 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
109,300,2.49E+25,18890000,17270000,150,5,240,4.52E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135860 1135620 1136160 1135080 966660],"""orbits-ok""","""Kepler-36 b"""
110,300,2.49E+25,18890000,17270000,150,5,240,4.84E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135920 1135680 1136220 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
111,300,2.49E+25,18890000,17270000,150,5,240,5.16E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135980 1135680 1136280 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
112,300,2.49E+25,18890000,17270000,150,5,244,4.52E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135860 1135620 1136160 1135080 966660],"""orbits-ok""","""Kepler-36 b"""
